"Notes","Year","Year Code","Month","Month Code",Births
,"2020","2020","September","9",311705
,"2020","2020","October","10",305085
,"2020","2020","November","11",282597
,"2020","2020","December","12",289878
"Total","2020","2020",,,3613647
,"2021","2021","January","1",277172
,"2021","2021","February","2",266355
,"2021","2021","March","3",302692
,"2021","2021","April","4",293208
,"2021","2021","May","5",300912
,"2021","2021","June","6",313597
,"2021","2021","July","7",326117
,"2021","2021","August","8",330271
,"2021","2021","September","9",325738
,"2021","2021","October","10",315414
,"2021","2021","November","11",301730
,"2021","2021","December","12",311086
"Total","2021","2021",,,3664292
,"2022","2022","January","1",294843
,"2022","2022","February","2",275727
,"2022","2022","March","3",307459
,"2022","2022","April","4",288660
,"2022","2022","May","5",297576
,"2022","2022","June","6",305759
,"2022","2022","July","7",320822
,"2022","2022","August","8",335912
,"2022","2022","September","9",312233
,"2022","2022","October","10",306805
,"2022","2022","November","11",307148
,"2022","2022","December","12",314814
"Total","2022","2022",,,3667758
,"2023","2023","January","1",299465
,"2023","2023","February","2",270845
,"2023","2023","March","3",299355
,"2023","2023","April","4",278630
,"2023","2023","May","5",299545
,"2023","2023","June","6",303322
,"2023","2023","July","7",311597
,"2023","2023","August","8",322361
,"2023","2023","September","9",305509
,"2023","2023","October","10",309117
,"2023","2023","November","11",298228
,"2023","2023","December","12",298043
"Total","2023","2023",,,3596017
"Total",,,,,66381504
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Sep 19, 2025 10:08:52 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Sep 19, 2025 10:08:52 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
