"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"2019","2019","Nov., 2019","2019/11",1700,Not Applicable,Not Applicable
,"2019","2019","Dec., 2019","2019/12",1762,Not Applicable,Not Applicable
"Total","2019","2019",,,20921,Not Applicable,Not Applicable
,"2020","2020","Jan., 2020","2020/01",1777,Not Applicable,Not Applicable
,"2020","2020","Feb., 2020","2020/02",1673,Not Applicable,Not Applicable
,"2020","2020","Mar., 2020","2020/03",1646,Not Applicable,Not Applicable
,"2020","2020","Apr., 2020","2020/04",1569,Not Applicable,Not Applicable
,"2020","2020","May, 2020","2020/05",1692,Not Applicable,Not Applicable
,"2020","2020","Jun., 2020","2020/06",1664,Not Applicable,Not Applicable
,"2020","2020","Jul., 2020","2020/07",1649,Not Applicable,Not Applicable
,"2020","2020","Aug., 2020","2020/08",1621,Not Applicable,Not Applicable
,"2020","2020","Sep., 2020","2020/09",1602,Not Applicable,Not Applicable
,"2020","2020","Oct., 2020","2020/10",1587,Not Applicable,Not Applicable
,"2020","2020","Nov., 2020","2020/11",1559,Not Applicable,Not Applicable
,"2020","2020","Dec., 2020","2020/12",1543,Not Applicable,Not Applicable
"Total","2020","2020",,,19582,Not Applicable,Not Applicable
"Total",,,,,249776,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Ten-Year Age Groups: < 1 year"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Sep 21, 2025 7:35:14 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Sep 21, 2025 7:35:14 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
